framework,version,device,op_name,kernel_source,moe_dtype,num_tokens,hidden_size,inter_size,topk,num_experts,moe_tp_size,moe_ep_size,distribution,latency,vllm_max_model_len,vllm_max_num_seqs,vllm_max_num_batched_tokens,used_cuda_graph
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,8,2048,256,8,256,1,1,power_law_1.2,0.0397823989391326,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,128,2048,256,8,256,1,1,power_law_1.2,0.1140480041503906,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1024,2048,256,8,256,1,1,power_law_1.2,0.1738432049751281,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,256,8,256,2,1,power_law_1.2,0.0140607997775077,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,256,8,256,2,1,power_law_1.2,0.0148992002010345,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,256,8,256,2,1,power_law_1.2,0.0190784007310867,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,8,2048,256,8,256,2,1,power_law_1.2,0.0250048011541366,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,128,2048,256,8,256,2,1,power_law_1.2,0.0697408020496368,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1024,2048,256,8,256,2,1,power_law_1.2,0.1152704000473022,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,512,8,256,1,1,power_law_1.2,0.0153216004371643,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,512,8,256,1,1,power_law_1.2,0.0207103997468948,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,512,8,256,1,1,power_law_1.2,0.04060800075531,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,8,2048,512,8,256,1,1,power_law_1.2,0.063673597574234,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,16,2048,512,8,256,1,1,power_law_1.2,0.0901247978210449,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,128,2048,512,8,256,1,1,power_law_1.2,0.2077568054199218,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1024,2048,512,8,256,1,1,power_law_1.2,0.316806411743164,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4096,2048,512,8,256,1,1,power_law_1.2,0.4196479797363281,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1,2048,512,8,256,2,1,power_law_1.2,0.0145088002085685,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,2,2048,512,8,256,2,1,power_law_1.2,0.0165439993143081,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,4,2048,512,8,256,2,1,power_law_1.2,0.0255167990922927,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,8,2048,512,8,256,2,1,power_law_1.2,0.0402496010065078,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,16,2048,512,8,256,2,1,power_law_1.2,0.0554560005664825,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,128,2048,512,8,256,2,1,power_law_1.2,0.1148543953895568,,,,True
VLLM,0.20.1,NVIDIA B300 SXM6 AC,moe,vllm_fused_moe_module,bfloat16,1024,2048,512,8,256,2,1,power_law_1.2,0.1776128053665161,,,,True
